Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1083713,-,-,-,35.73,-79.18,-5,156,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,GHI,Clearsky GHI,Cloud Type
2004,1,1,0,0,0,0,
2004,1,1,0,30,0,0,0
2004,1,1,1,0,0,0,0
2004,1,1,1,30,0,0,0
2004,1,1,2,0,0,0,0
2004,1,1,2,30,0,0,0
2004,1,1,3,0,0,0,0
2004,1,1,3,30,0,0,0
2004,1,1,4,0,0,0,0
2004,1,1,4,30,0,0,0
2004,1,1,5,0,0,0,0
2004,1,1,5,30,0,0,0
2004,1,1,6,0,0,0,
2004,1,1,6,30,0,0,4
2004,1,1,7,0,0,0,7
2004,1,1,7,30,0,0,
2004,1,1,8,0,66,66,7
2004,1,1,8,30,151,151,0
2004,1,1,9,0,237,237,0
2004,1,1,9,30,319,319,1
2004,1,1,10,0,392,392,1
2004,1,1,10,30,352,453,3
2004,1,1,11,0,501,501,1
2004,1,1,11,30,413,534,4
2004,1,1,12,0,427,552,
2004,1,1,12,30,554,554,1
2004,1,1,13,0,540,540,0
2004,1,1,13,30,511,511,1
2004,1,1,14,0,403,467,3
2004,1,1,14,30,327,410,3
2004,1,1,15,0,280,341,8
2004,1,1,15,30,178,262,3
2004,1,1,16,0,176,176,0
2004,1,1,16,30,90,90,4
2004,1,1,17,0,19,19,4
2004,1,1,17,30,0,0,4
2004,1,1,18,0,0,0,4
2004,1,1,18,30,0,0,1
2004,1,1,19,0,0,0,1
2004,1,1,19,30,0,0,0
2004,1,1,20,0,0,0,1
2004,1,1,20,30,0,0,0
2004,1,1,21,0,0,0,0
2004,1,1,21,30,0,0,3
2004,1,1,22,0,0,0,7
2004,1,1,22,30,0,0,7
2004,1,1,23,0,0,0,7
2004,1,1,23,30,0,0,7
2004,1,2,0,0,0,0,7
2004,1,2,0,30,0,0,7
2004,1,2,1,0,0,0,7
2004,1,2,1,30,0,0,7
2004,1,2,2,0,0,0,7
2004,1,2,2,30,0,0,7
2004,1,2,3,0,0,0,7
2004,1,2,3,30,0,0,7
2004,1,2,4,0,0,0,4
2004,1,2,4,30,0,0,0
2004,1,2,5,0,0,0,0
2004,1,2,5,30,0,0,1
2004,1,2,6,0,0,0,1
2004,1,2,6,30,0,0,1
2004,1,2,7,0,0,0,4
2004,1,2,7,30,0,0,7
2004,1,2,8,0,16,51,7
2004,1,2,8,30,40,124,7
2004,1,2,9,0,125,202,8
2004,1,2,9,30,87,278,7
2004,1,2,10,0,65,346,7
2004,1,2,10,30,305,404,4
2004,1,2,11,0,321,450,4
2004,1,2,11,30,393,482,7
2004,1,2,12,0,203,500,4
2004,1,2,12,30,182,503,4
2004,1,2,13,0,236,481,4
2004,1,2,13,30,240,455,4
2004,1,2,14,0,276,421,7
2004,1,2,14,30,139,368,7
2004,1,2,15,0,162,310,7
2004,1,2,15,30,185,237,7
2004,1,2,16,0,144,161,7
2004,1,2,16,30,73,82,7
2004,1,2,17,0,16,18,7
2004,1,2,17,30,0,0,4
2004,1,2,18,0,0,0,4
2004,1,2,18,30,0,0,0
2004,1,2,19,0,0,0,0
2004,1,2,19,30,0,0,0
2004,1,2,20,0,0,0,0
2004,1,2,20,30,0,0,0
2004,1,2,21,0,0,0,0
2004,1,2,21,30,0,0,0
2004,1,2,22,0,0,0,0
2004,1,2,22,30,0,0,0
2004,1,2,23,0,0,0,0
2004,1,2,23,30,0,0,0
2004,1,3,0,0,0,0,0
2004,1,3,0,30,0,0,0
2004,1,3,1,0,0,0,0
2004,1,3,1,30,0,0,0
2004,1,3,2,0,0,0,0
2004,1,3,2,30,0,0,0
2004,1,3,3,0,0,0,0
2004,1,3,3,30,0,0,0
2004,1,3,4,0,0,0,0
2004,1,3,4,30,0,0,0
2004,1,3,5,0,0,0,0
2004,1,3,5,30,0,0,0
2004,1,3,6,0,0,0,1
2004,1,3,6,30,0,0,0
2004,1,3,7,0,0,0,1
2004,1,3,7,30,0,0,0
2004,1,3,8,0,58,58,0
2004,1,3,8,30,136,136,0
2004,1,3,9,0,220,220,0
2004,1,3,9,30,299,299,0
2004,1,3,10,0,370,370,0
2004,1,3,10,30,430,430,0
2004,1,3,11,0,478,478,0
2004,1,3,11,30,511,511,0
2004,1,3,12,0,530,530,0
2004,1,3,12,30,533,533,0
2004,1,3,13,0,519,519,0
2004,1,3,13,30,492,492,0
2004,1,3,14,0,450,450,0
2004,1,3,14,30,395,395,0
2004,1,3,15,0,328,328,0
2004,1,3,15,30,252,252,0
2004,1,3,16,0,169,169,0
2004,1,3,16,30,88,88,0
2004,1,3,17,0,20,20,0
2004,1,3,17,30,0,0,0
2004,1,3,18,0,0,0,0
2004,1,3,18,30,0,0,0
2004,1,3,19,0,0,0,0
2004,1,3,19,30,0,0,0
2004,1,3,20,0,0,0,0
2004,1,3,20,30,0,0,0
2004,1,3,21,0,0,0,1
2004,1,3,21,30,0,0,0
2004,1,3,22,0,0,0,3
2004,1,3,22,30,0,0,3
2004,1,3,23,0,0,0,4
2004,1,3,23,30,0,0,3
2004,1,4,0,0,0,0,4
2004,1,4,0,30,0,0,4
2004,1,4,1,0,0,0,4
2004,1,4,1,30,0,0,4
2004,1,4,2,0,0,0,7
2004,1,4,2,30,0,0,7
2004,1,4,3,0,0,0,7
2004,1,4,3,30,0,0,0
2004,1,4,4,0,0,0,1
2004,1,4,4,30,0,0,1
2004,1,4,5,0,0,0,7
2004,1,4,5,30,0,0,7
2004,1,4,6,0,0,0,7
2004,1,4,6,30,0,0,4
2004,1,4,7,0,0,0,7
2004,1,4,7,30,0,0,7
2004,1,4,8,0,27,54,4
2004,1,4,8,30,65,131,4
2004,1,4,9,0,7,212,4
2004,1,4,9,30,47,291,4
2004,1,4,10,0,59,363,7
2004,1,4,10,30,47,423,4
2004,1,4,11,0,110,471,4
2004,1,4,11,30,180,503,7
2004,1,4,12,0,264,522,7
